Depth Shifted To Core (ft),DTCO,DTSM,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO60,AORT,AORX,BFV,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CDF,CFTC,CMFF,CMFF_SIG,CMR_PHI_CO,CMRP_3MS,CNTC,CTEM,DCAL,DNPH,DPHZ,DPH8,DSOZ,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,ECGR,ECST,ESUF_WALK2,GDEV,GR,GR_EDTC,GTEM,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,KSDR,KTIM,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,QCPMT,RHGE_WALK2,RHO8,RHOZ,RSOZ,RXO8,RXOZ,SP,SPAR,STIT,T2LM,T2LM_SIG,TCMR,TENS,TNPH,WCAR_WALK2,WCLA_WALK2,WPYR_WALK2,WQFM_WALK2
10420,74.3431,122.7196,17.3586,19.5176,18.0469,16.5116,17.6602,16.4437,33.2753,22.5286,21.1745,20.3789,16.9452,18.5455,19.0635,17.2199,19.1217,60.5637,14.7758,19.863,0.0515,0.0278,0.0162,0.0073,0.0011,0.0084,0.0015,0,0.0006,1618.2869,1545.8234,0.0114,0.0041,0.0008,0.0189,3350.7932,183.3412,0.8856,-0.0164,0.0817,0.0854,0.0546,0.0689,0.0352,0.0375,8.8172,0.3068,0.0184,0.0051,88.3607,65.8906,0.5139,2.9953,81.0099,85.4633,182.2964,9.6356,-0.0075,-0.0279,79.5605,32.3243,28.7485,0.1682,0.1136,0.1621,0.0003,0.0082,0.163,0.1681,3.2479,3.3185,0.1455,0.3802,2.7398,2.564,2.5702,0.01,41.1591,38.2698,-206.9811,-206.6551,0,2.2667,-999.25,0.0629,4661.4004,0.1621,0.0196,0.3461,0.0345,0.5998
10420.5,74.3497,122.6638,16.5565,18.8845,18.0504,16.7091,16.7613,19.8485,34.4506,28.3429,21.3316,20.1579,17.2975,25.5446,22.6403,21.2489,19.9266,59.8477,13.4629,24.9444,0.0525,0.0281,0.0168,0.007,0.0025,0.0096,0.0006,0,0.0008,1637.9663,1583.816,0.013,0.0041,0.0008,0.0206,3327.8508,183.3412,0.8794,-0.0162,0.0759,0.0759,0.0481,0.0662,0.034,0.0357,9.3077,0.3132,0.0186,0.0055,86.4581,61.2084,0.5426,2.4813,79.287,84.7488,182.2964,9.6294,-0.0057,-0.0198,79.1792,24.6534,22.9064,0.1394,0.0822,0.1526,0.0004,0.0114,0.1556,0.1417,3.1683,3.2821,0.1377,0.3225,2.7363,2.5802,2.5802,0.0022,40.6542,31.1135,-206.4148,-206.6232,0,2.4002,-999.25,0.0655,4780.4004,0.1525,0.0166,0.3325,0.0347,0.6162
10421,74.3312,122.9403,16.1093,19.0649,18.1192,16.9089,15.8089,15.4333,18.8457,16.389,13.4335,12.9587,16.6816,21.8151,19.5952,18.2888,16.6364,59.1403,11.1361,17.383,0.0571,0.0227,0.0196,0.0134,0.0023,0.0079,0.0011,0,0.0009,1690.5706,1600.0408,0.0108,0.0041,0.0008,0.0256,3344.6082,183.3412,0.8794,-0.0161,0.0656,0.0617,0.0252,0.0646,0.0342,0.0345,9.3882,0.316,0.0208,0.0055,83.8055,61.2084,0.5542,0,76.8545,83.2833,182.2964,9.6294,-0.0026,-0.0041,79.2744,16.2232,14.3961,0.1357,0.0339,0.1511,0.0006,0.0076,0.1525,0.1443,3.2912,3.2843,0.1342,0.0096,2.7367,2.6046,2.5978,0.0001,20.5867,23.2981,-206.6213,-206.5864,0,2.7511,-999.25,0.068,4753,0.1509,0.017,0.3249,0.0389,0.6192
10421.5,73.6457,121.3922,15.603,18.159,17.4733,16.2682,14.8003,16.0931,19.4324,16.5841,12.5357,12.1166,15.6115,18.6961,17.8038,17.1472,14.1091,61.4694,10.303,16.7555,0.0651,0.0195,0.0248,0.0176,0.0041,0.0042,0.0017,0.0009,0.001,1643.1211,1596.3378,0.0087,0.0042,0.0008,0.0295,3348.6323,183.3412,0.8994,-0.0163,0.0561,0.0541,0,0.0676,0.0378,0.0355,6.9463,0.3071,0.0266,0.0054,87.4163,62.379,0.5941,2.35,80.0951,85.8597,182.2964,9.6494,0.0001,0.0108,72.2627,14.3804,12.7548,0.1597,-0.0131,0.1518,0.0011,0.0053,0.1537,0.1626,3.3298,3.2985,0.1325,0.033,2.7462,2.6175,2.6141,0.0001,18.2338,18.8106,-206.2463,-206.5678,0,3.002,-999.25,0.0738,4723.167,0.1518,0.0268,0.3398,0.0498,0.5837
10422,73.457,121.1593,15.0354,17.0666,16.8412,15.7853,14.2163,13.6196,16.2193,14.8264,12.0554,11.6791,14.4082,16.185,16.1138,15.9818,12.5326,63.3499,10.4663,14.3254,0.0741,0.0215,0.0289,0.0179,0.0076,0.0015,0.0016,0.002,0.0006,1632.6084,1598.4381,0.0074,0.0042,0.0008,0.031,3314.0476,183.3412,0.8794,-0.0161,0.0527,0.0502,0,0.0689,0.0439,0.0363,6.1483,0.2976,0.0287,0.0047,87.9634,61.2084,0.5945,2.3264,80.6675,86.6216,182.2964,9.6294,0.0004,0.0149,88.85,15.3626,13.6293,0.1381,-0.0303,0.1484,0.0014,0.0044,0.1612,0.1473,3.3168,3.3101,0.1296,0.2976,2.7512,2.6241,2.6198,0.0001,19.4874,18.918,-206.568,-206.5536,0,2.8439,-999.25,0.0815,4669.667,0.1485,0.0432,0.3464,0.0538,0.5566
10422.5,73.4173,121.0477,14.5209,16.0849,16.3756,15.0176,13.8765,13.7976,15.0142,14.1707,11.9545,11.6147,14.225,14.937,15.2815,14.3619,11.8419,66.5886,10.7437,13.1733,0.0789,0.0256,0.0313,0.0149,0.0108,0.001,0.0008,0.002,0.0006,1615.3007,1617.5029,0.0081,0.0041,0.0008,0.0302,3366.9111,183.3412,0.8856,-0.0161,0.0523,0.0533,0,0.0655,0.0499,0.0351,5.0326,0.2961,0.0248,0.0038,92.6176,61.2084,0.5636,2.3686,84.9127,85.631,182.2964,9.6356,0,0.0128,80.9915,15.2825,13.558,0.1518,-0.0214,0.1494,0.0015,0.0065,0.1631,0.155,3.3424,3.2994,0.1301,0,2.7453,2.6189,2.6206,0.0001,19.3851,20.5505,-206.5511,-206.5067,0,2.5983,-999.25,0.0871,4583.6001,0.1496,0.0592,0.3291,0.0463,0.5655
10423,73.4209,121.0644,14.0546,15.6892,16.3066,14.6567,13.989,13.9815,15.766,15.9272,14.9541,14.4918,14.0861,14.9181,15.656,14.2866,12.0363,68.2282,12.5859,12.401,0.077,0.0287,0.0314,0.0104,0.0118,0.0028,0,0.001,0.0012,1607.5914,1683.1003,0.0104,0.0041,0.0008,0.0273,3482.6675,183.3412,0.864,-0.0159,0.0551,0.054,0,0.0589,0.0507,0.0324,5.3553,0.3057,0.0172,0.0031,89.2445,64.7201,0.5235,2.2848,81.898,85.8353,182.2964,9.614,-0.0011,0.0052,85.1413,20.5528,18.2531,0.1605,0.0113,0.1476,0.0014,0.0107,0.1552,0.1644,3.3294,3.2745,0.1296,0.003,2.7316,2.6177,2.6158,0.0001,26.1153,26.8586,-206.6912,-206.5413,0,2.422,-999.25,0.0874,4708.1665,0.1478,0.0614,0.2961,0.0322,0.6103
10423.5,73.2622,121.0498,13.668,15.7539,16.6465,14.657,14.1589,12.9198,14.258,15.6019,15.604,15.1481,13.3423,15.1136,16.2441,14.0344,12.707,68.2266,14.0509,10.915,0.0679,0.0278,0.0295,0.0074,0.0087,0.0054,0,0,0.0012,1602.1166,1782.6183,0.0122,0.0041,0.0008,0.0229,3533.1138,183.3412,0.8756,-0.0157,0.0603,0.0574,0,0.0525,0.0507,0.0295,5.5944,0.3162,0.011,0.0026,87.2633,61.2084,0.4908,3.9809,80.0391,83.4324,182.2964,9.6256,-0.0025,-0.0035,79.7042,42.2974,37.6514,0.1243,0.0554,0.1352,0.0009,0.0133,0.1327,0.1239,3.1096,3.2531,0.1223,0,2.719,2.6119,2.6069,0.0001,53.92,38.1695,-206.4577,-206.5251,0,2.3069,-999.25,0.0801,4674,0.1353,0.0614,0.264,0.0206,0.654
10424,72.8912,120.2312,13.3695,15.6845,16.8318,14.6717,14.2876,11.2439,13.7713,15.9215,16.2411,15.8195,12.974,15.4704,17.4742,14.457,14.3305,68.1586,15.3638,9.8817,0.0542,0.0231,0.0254,0.0046,0.0047,0.0078,0.0005,0,0.001,1558.827,1896.0181,0.013,0.004,0.0008,0.0186,3584.6252,183.3412,0.8679,-0.0153,0.0606,0.0625,0,0.0514,0.0519,0.0292,6.3713,0.3165,0.0097,0.0022,83.9586,61.2084,0.4754,2.4445,77.0341,84.1424,182.2964,9.6179,-0.0028,0.0003,75.5419,35.4349,31.5242,0.1061,0.058,0.1225,0.0005,0.0116,0.1182,0.1077,3.1941,3.2393,0.1132,0.0882,2.7171,2.6032,2.6064,0.0001,45.1376,42.465,-206.2936,-206.5189,0,2.5352,-999.25,0.0672,4620.2002,0.1226,0.0645,0.2585,0.0181,0.6588
10424.5,72.4343,120.0977,12.9211,15.5966,16.9842,14.6085,14.4052,14.4637,18.8663,20.3329,19.2513,18.7554,13.2026,17.9295,19.3697,15.6069,16.031,68.4532,18.6952,9.1478,0.0503,0.0215,0.0228,0.0053,0.0029,0.0068,0.0026,0,0.0004,1511.911,1931.009,0.0119,0.004,0.0008,0.0179,3625.0796,183.3412,0.881,-0.0154,0.0598,0.0654,0,0.0508,0.0507,0.0291,7.676,0.3188,0.0084,0.0019,82.5505,63.5495,0.4796,2.3081,75.6984,85.7281,182.2964,9.631,-0.003,0.0066,75.9832,26.1167,23.2115,0.1214,0.0591,0.1206,0.0004,0.0086,0.1235,0.1238,3.3048,3.3103,0.1116,0.2859,2.7151,2.5982,2.6077,0.0001,33.2227,32.2503,-206.4357,-206.5201,0,2.584,-999.25,0.0622,4579.1665,0.1206,0.0614,0.2551,0.0157,0.6678
10425,72.3748,119.434,12.4078,15.0139,16.5335,14.4864,13.8041,11.3651,21.1006,23.8327,20.3137,19.9594,12.4913,15.2659,17.5938,13.788,16.265,69.0303,19.4218,8.8688,0.0502,0.0202,0.021,0.0082,0.0018,0.0052,0.004,0,0,1465.432,1863.0564,0.0101,0.004,0.0008,0.0192,3565.3479,183.3412,0.9295,-0.0159,0.0558,0.0533,0,0.0527,0.0478,0.0304,8.0129,0.3186,0.0077,0.0018,86.8251,62.379,0.5218,2.5644,79.4485,89.3658,182.2964,9.6795,-0.0026,0.0144,75.6971,18.3551,16.2952,0.1193,0.0457,0.1254,0.0004,0.0055,0.1336,0.1257,3.4599,3.4141,0.1143,0.2575,2.7163,2.6189,2.6146,0.0001,23.3088,23.5377,-206.0985,-206.4919,0,2.6439,-999.25,0.0604,4471.6001,0.1254,0.0537,0.2647,0.0145,0.6672
10425.5,72.3158,119.2641,11.8529,14.2433,15.6903,14.2777,13.2626,12.9613,12.4046,15.6667,15.4017,15.0907,11.6282,13.5019,15.1909,13.5606,14.1255,70.0391,15.631,8.7439,0.0502,0.0182,0.0191,0.0119,0.001,0.0039,0.0044,0,0,1437.3284,1764.6542,0.0083,0.004,0.0008,0.0212,3483.0737,183.3412,0.9256,-0.0161,0.0544,0.0472,0,0.0548,0.0424,0.0318,8.38,0.3209,0.0057,0.0023,90.5996,62.379,0.5343,2.5352,82.9164,89.3338,182.2964,9.6756,-0.0028,0.0124,86.9303,14.5797,12.932,0.1288,0.0611,0.1339,0.0004,0.0033,0.1451,0.1334,3.6314,3.5072,0.1201,0.2282,2.7156,2.6293,2.617,0.0001,18.4877,19.4999,-206.4375,-206.4894,0,2.7617,-999.25,0.0585,4430.7998,0.1338,0.0391,0.2756,0.0107,0.6745
10426,72.3252,119.1598,11.2809,13.5906,14.9606,14.04,12.6946,10.4791,11.8301,14.2405,15.9967,15.6328,10.8912,12.8381,14.6934,13.6323,13.9556,71.2252,15.7991,8.7642,0.0485,0.0159,0.0169,0.0151,0.0007,0.002,0.0048,0,0,1420.7872,1695.2709,0.0067,0.004,0.0008,0.0225,3460.8716,183.3412,0.8394,-0.0157,0.0529,0.0526,0,0.0597,0.0446,0.0344,6.8103,0.3101,0.0066,0.003,92.5405,64.7201,0.5362,1.469,85.0151,88.5365,182.2964,9.5894,-0.0029,0.0075,86.3455,14.4636,12.8287,0.1563,0.0745,0.144,0.0003,0.0018,0.1493,0.1497,3.4855,3.5171,0.1266,0.1127,2.7217,2.62,2.6196,0.0001,18.3395,17.9172,-206.9583,-206.4495,0,2.84,-999.25,0.0553,4418,0.144,0.0449,0.2999,0.0124,0.6428
10426.5,72.6457,119.7321,10.7526,13.2308,14.4303,14.1756,12.3781,10.6739,11.9895,15.531,18.0198,17.5788,10.2761,12.4595,13.6903,13.3465,13.2703,70.5439,16.8874,9.6712,0.0458,0.0165,0.0166,0.0126,0.0001,0.0019,0.0037,0,0,1630.4066,1703.4124,0.0056,0.0038,0.0008,0.0183,3458.3008,183.3412,0.8101,-0.0154,0.0549,0.0484,0.0164,0.0611,0.0529,0.0354,7.7745,0.2977,0.0052,0.003,89.8037,63.5495,0.4983,2.3583,82.6077,88.0898,182.2964,9.5601,-0.0041,-0.0012,81.9884,13.8516,12.2846,0.1511,0.0974,0.1425,0.0002,0.0011,0.1568,0.1479,3.4857,3.5067,0.1262,0.217,2.7234,2.6273,2.6162,0.0001,17.56,17.6576,-207.3163,-206.4862,0,2.4319,-999.25,0.0514,5085.667,0.1426,0.0672,0.3071,0.0097,0.616
10427,72.8624,119.9376,10.6114,13.2698,14.2884,14.5354,12.149,9.998,11.0467,14.7355,15.5745,15.2234,10.0681,11.9892,13.3439,13.734,13.5797,68.7975,13.9149,9.366,0.0462,0.0171,0.0173,0.0117,0.0001,0.0026,0.0027,0,0,1892.9607,1685.9794,0.0053,0.0037,0.0008,0.0171,3465.8948,183.3412,0.8163,-0.0156,0.0596,0.051,0.0504,0.0601,0.058,0.0348,7.5794,0.2935,0.0054,0.0028,88.3912,62.379,0.5001,2.773,81.2862,85.9145,182.2964,9.5663,-0.0054,-0.0082,79.3701,13.5849,12.0473,0.1438,0.105,0.1461,0.0001,0.0009,0.1527,0.1459,3.3522,3.5127,0.1297,0.29,2.7235,2.6228,2.6081,0.0001,17.2199,17.9231,-206.0875,-206.5252,0,2.2682,-999.25,0.0515,4976.4004,0.1462,0.0811,0.3019,0.0101,0.6069
10427.5,73.1647,121.2054,10.7503,13.7358,14.602,14.9684,12.1318,9.6446,10.6356,12.7697,13.0164,12.7633,10.1234,12.4963,13.4979,15.2357,12.8712,66.8072,11.3263,9.2679,0.0497,0.0173,0.0175,0.0133,0.0016,0.003,0.0024,0,0,1844.3748,1710.5363,0.0055,0.0038,0.0008,0.0203,3485.2759,183.3412,0.7947,-0.0153,0.0575,0.0478,0.029,0.0567,0.0558,0.0331,9.1224,0.3018,0.0039,0.0026,88.0873,62.379,0.511,2.529,81.0841,84.5171,182.2964,9.5447,-0.003,0.0012,82.4224,17.7265,15.7353,0.1373,0.0745,0.1438,0.0002,0.0011,0.1565,0.1388,3.4839,3.5134,0.1275,0.2509,2.718,2.6282,2.6117,0.0001,22.5063,23.9781,-206.4632,-206.4967,0,2.4352,-999.25,0.0551,4929,0.1437,0.075,0.2851,0.0073,0.6326
10428,72.7217,121.0754,11.1914,14.8093,15.6542,15.1962,12.6977,11.04,13.6297,13.4335,11.5027,11.2775,10.8509,13.9782,15.0633,15.9161,12.8797,65.8059,10.1168,9.6889,0.0542,0.0169,0.0166,0.0165,0.0049,0.0028,0.0022,0.0001,0.0003,1797.3685,1703.2178,0.0061,0.004,0.0008,0.0269,3532.2827,183.3412,0.8062,-0.0155,0.0546,0.0694,0.0257,0.0555,0.0523,0.032,8.3616,0.3085,0.005,0.003,89.4712,61.2084,0.5214,2.7004,82.3159,83.4025,182.2964,9.5562,-0.0005,0.0096,81.5638,37.7332,33.5764,0.1437,0.0389,0.1489,0.0005,0.0017,0.1477,0.1492,3.6261,3.4831,0.1302,0.1687,2.7168,2.5913,2.6167,0.0001,48.0793,32.8638,-206.3934,-206.4714,2.9627,2.9325,-999.25,0.0603,4971.167,0.1488,0.0656,0.2788,0.0094,0.6462
10428.5,72.2924,120.0257,11.8828,16.4156,17.0499,15.922,13.1222,10.9827,15.4628,13.2737,10.5852,10.379,11.9043,15.9919,17.5828,16.592,13.047,62.8062,9.087,12.0566,0.0565,0.0154,0.0153,0.0189,0.0095,0.0028,0,0.0004,0.0016,1743.9053,1734.7993,0.0075,0.0041,0.0008,0.0333,3524.2576,183.3412,0.8347,-0.0156,0.0521,0.0596,0.0112,0.0563,0.0556,0.0325,8.2317,0.3031,0.0051,0.0031,89.2087,61.2084,0.5193,2.7274,81.9709,88.7689,182.2964,9.5847,0.0003,0.0081,83.1383,24.8353,22.0687,0.1495,0.0436,0.1427,0.0009,0.0029,0.1467,0.1454,3.3979,3.4387,0.1255,0.1685,2.7183,2.608,2.6209,0.0001,31.5847,27.6271,-206.3897,-206.45,2.3702,3.6725,-999.25,0.064,4913,0.1425,0.0745,0.2831,0.0095,0.6328
